source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Drug 9615,0,VNR,ZONOCT (10 MG ),40163492,RxNorm,2024-05-13,,
Drug 112870,0,VNR,SEREPAX (15 MG ),19019484,RxNorm,2024-05-13,,
Drug 189522,0,VNR,DEPO-MEDROL (40 MG/ML ),42902110,RxNorm,2024-05-13,,
Drug 10671,0,VNR,"DICLOFENAC RAPID ""ORIFARM"" (50 MG )",40162307,RxNorm,2024-05-13,,
Drug 53025,0,VNR,DIANE MITE (20+0035 MG ),1549830,RxNorm,2024-05-13,,
Drug 479352,0,VNR,ERYCIN (500 MG ),19076960,RxNorm,2024-05-13,,
Drug 274,0,VNR,SESAL (025 MG/ML + 5 MG/ML ),40014382,RxNorm,2024-05-13,,
Drug 87759,0,VNR,PERGOTIME (50 MG ),40236648,RxNorm,2024-05-13,,
Drug 5812,0,VNR,CIPRALEX (10 MG ),715940,RxNorm,2024-05-13,,
Drug 598474,0,VNR,"RAMIPRIL ""HEXAL"" (5 MG )",1334492,RxNorm,2024-05-13,,
Drug 8718,0,VNR,MG,40028726,RxNorm,2024-05-13,,
Drug 161678,0,VNR,"ENALAPRIL ""SANDOZ"" (20 MG )",40165773,RxNorm,2024-05-13,,
Drug 20129,0,VNR,RHINOCORT AQUA (64 MIKG/DOSIS ),19063315,RxNorm,2024-05-13,,
Drug 24993,0,VNR,"ALENDRONAT ""RATIOPHARM"" (70 MG )",40173612,RxNorm,2024-05-13,,
Drug 581379,0,VNR,"AMLODIPIN ""MEDICAL VALLEY"" (10 MG )",19073093,RxNorm,2024-05-13,,
Drug 27051,0,VNR,JARDIANCE (10 MG ),45774754,RxNorm,2024-05-13,,
Drug 517343,0,VNR,"LANSOPRAZOL ""PENSA"" (30 MG )",929889,RxNorm,2024-05-13,,
Drug 512731,0,VNR,INSULATARD PEN (100 IE/ML ),44068834,RxNorm Extension,2024-05-13,,
Drug 20170,0,VNR,"SERTRALIN ""HEXAL"" (50 MG )",739209,RxNorm,2024-05-13,,
Drug 4255,0,VNR,"IBUPROFEN ""ACTAVIS"" (400 MG )",19019072,RxNorm,2024-05-13,,
Drug 145482,0,VNR,DIPRODERM (005 % ),40019108,RxNorm,2024-05-13,,
Drug 23901,0,VNR,"MIRTAZAPIN ""KRKA"" (15 MG )",725178,RxNorm,2024-05-13,,
Drug 5565,0,VNR,FOSAMAX (70 MG ),40173612,RxNorm,2024-05-13,,
Drug 546281,0,VNR,"IBUPROFEN ""TEVA"" (200 MG )",19078461,RxNorm,2024-05-13,,
Drug 48497,0,VNR,"ROSUVASTATIN ""TEVA"" (5 MG )",40165261,RxNorm,2024-05-13,,
Drug 67845,0,VNR,ELIQUIS (25 MG ),43013026,RxNorm,2024-05-13,,
Drug 384651,0,VNR,GYNERA (NA ),40039760,RxNorm,2024-05-13,,
Drug 90118,0,VNR,SPARKAL MITE (25 + 25 MG ),40177822,RxNorm,2024-05-13,,
Drug 4193,0,VNR,"METOPROLOL ""GEA"" (100 MG )",40167200,RxNorm,2024-05-13,,
Drug 53405,0,VNR,HEXASOPTIN RETARD (120 MG ),40171847,RxNorm,2024-05-13,,
Drug 129308,0,VNR,CONCERTA (36 MG ),964277,RxNorm,2024-05-13,,
Drug 116331,0,VNR,"ENALAPRIL ""ACTAVIS"" (10 MG )",40165762,RxNorm,2024-05-13,,
Drug 47769,0,VNR,ODRIK (2 MG ),1342476,RxNorm,2024-05-13,,
Drug 383794,0,VNR,CAPTOL (25 MG ),1340161,RxNorm,2024-05-13,,
Drug 51425,0,VNR,MUCOMYST (200 MG ),43187936,RxNorm Extension,2024-05-13,,
Drug 48662,0,VNR,"CARVEDILOL ""KRKA"" (25 MG )",19022781,RxNorm,2024-05-13,,
Drug 140327,0,VNR,SIFROL (0088 MG ),21043090,RxNorm Extension,2024-05-13,,
Drug 460071,0,VNR,FLEMOXIN SOLUTAB (250 MG ),44180235,RxNorm Extension,2024-05-13,,
Drug 426312,0,VNR,DIFLUCAN (150 MG ),1754999,RxNorm,2024-05-13,,
Drug 2350,0,VNR,ACCUTIN (20 MG ),984236,RxNorm,2024-05-13,,
Drug 445481,0,VNR,VISCOTEARS (2 MG/G ),44107643,RxNorm Extension,2024-05-13,,
Drug 471066,0,VNR,EUTHYROX (50 MIKROGRAM ),40175210,RxNorm,2024-05-13,,
Drug 115544,0,VNR,"SIMVASTATIN ""ORION"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 156463,0,VNR,RILAMIR (0250 MG ),704601,RxNorm,2024-05-13,,
Drug 4241,0,VNR,"CLOZAPINE ""ACTAVIS"" (100 MG )",800881,RxNorm,2024-05-13,,
Drug 99093,0,VNR,FONTEX (20 MG ),19077463,RxNorm,2024-05-13,,
Drug 573576,0,VNR,FUCIDIN (2 % ),40131827,RxNorm,2024-05-13,,
Drug 5711,0,VNR,OXYNORM (10 MG ),40232706,RxNorm,2024-05-13,,
Drug 426486,0,VNR,BRENTAN (20 MG/G ),40063807,RxNorm,2024-05-13,,
Drug 56615,0,VNR,ENACECOR (20+125 MG ),40165771,RxNorm,2024-05-13,,
Drug 155564,0,VNR,LETIGEN (NA ),41298677,RxNorm Extension,2024-05-13,,
Drug 71998,0,VNR,EUTHYROX (100 MIKROGRAM ),40169766,RxNorm,2024-05-13,,
Drug 388389,0,VNR,IBUMETIN (600 MG ),19019073,RxNorm,2024-05-13,,
Drug 69184,0,VNR,ARAX (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 65979,0,VNR,COZAAR (125 MG ),1367533,RxNorm,2024-05-13,,
Drug 174433,0,VNR,ALPHAGAN (2 MG/ML ),40164141,RxNorm,2024-05-13,,
Drug 427983,0,VNR,"CITALOPRAM ""ORION"" (20 MG )",19023636,RxNorm,2024-05-13,,
Drug 162541,0,VNR,TOBRADEX (1+3 MG/ML ),40027458,RxNorm,2024-05-13,,
Drug 131002,0,VNR,FOLIMET (1 MG ),19077513,RxNorm,2024-05-13,,
Drug 386730,0,VNR,LEXOTAN (3 MG ),19030355,RxNorm,2024-05-13,,
Drug 91842,0,VNR,"TRAMADOL RETARD ""ACTAVIS"" (100 MG )",792583,RxNorm,2024-05-13,,
Drug 498036,0,VNR,"PANTOPRAZOL ""SANDOZ"" (40 MG )",19080217,RxNorm,2024-05-13,,
Drug 43856,0,VNR,"OMEPRAZOL ""PENSA"" (20 MG )",19019418,RxNorm,2024-05-13,,
Drug 16727,0,VNR,RITALIN UNO (30 MG ),40221126,RxNorm,2024-05-13,,
Drug 136673,0,VNR,"LAMOTRIGIN ""TEVA"" (50 MG )",705152,RxNorm,2024-05-13,,
Drug 28589,0,VNR,XATRAL (25 MG ),40235406,RxNorm,2024-05-13,,
Drug 92577,0,VNR,SPIROCORT (200 MIKG/DOSIS ),1356140,RxNorm,2024-05-13,,
Drug 23756,0,VNR,"AZITHROMYCIN ""SANDOZ"" (500 MG )",1734134,RxNorm,2024-05-13,,
Drug 95798,0,VNR,"SUMATRIPTAN ""TEVA"" (50 MG )",1140650,RxNorm,2024-05-13,,
Drug 21033,0,VNR,COVERSYL NOVUM (5 MG ),21041304,RxNorm Extension,2024-05-13,,
Drug 74674,0,VNR,CONDYLINE (5 MG/ML ),947732,RxNorm,2024-05-13,,
Drug 101488,0,VNR,"PANTOPRAZOL ""KRKA"" (20 MG )",948079,RxNorm,2024-05-13,,
Drug 4094,0,VNR,FOLIMET (5 MG ),1387453,RxNorm,2024-05-13,,
Drug 121215,0,VNR,"ZOLPIDEM ""HEXAL"" (10 MG )",40163492,RxNorm,2024-05-13,,
Drug 133017,0,VNR,SOMADRIL (350 MG ),749932,RxNorm,2024-05-13,,
Drug 28249,0,VNR,"ATORVASTATIN ""HEXAL"" (40 MG )",1545996,RxNorm,2024-05-13,,
Drug 22199,0,VNR,RHINOCORT (64 MIKROGRAM/DOSIS ),19063315,RxNorm,2024-05-13,,
Drug 80942,0,VNR,OPATANOL (1 MG/ML ),40240035,RxNorm,2024-05-13,,
Drug 60406,0,VNR,"LAMOTRIGIN ""1A FARMA"" (100 MG )",705108,RxNorm,2024-05-13,,
Drug 8383,0,VNR,BETNOVAT (1 MG/G ),40019139,RxNorm,2024-05-13,,
Drug 29561,0,VNR,DICLON (100 MG ),40162328,RxNorm,2024-05-13,,
Drug 136143,0,VNR,PULMICORT (200 MIKROGRAM/DOSIS ),1356140,RxNorm,2024-05-13,,
Drug 46866,0,VNR,LERCATIO (20 MG ),19015804,RxNorm,2024-05-13,,
Drug 499480,0,VNR,"SUMATRIPTAN ""AUROBINDO"" (50 MG )",1140650,RxNorm,2024-05-13,,
Drug 569433,0,VNR,MAREVAN (25 MG ),40163534,RxNorm,2024-05-13,,
Drug 30737,0,VNR,FURIX RETARD (60 MG ),956944,RxNorm,2024-05-13,,
Drug 132840,0,VNR,"OXYCODONHYDROCHLORID ""ACTAVIS"" (5 MG )",40232754,RxNorm,2024-05-13,,
Drug 42978,0,VNR,"METOPROLOL ""GEA"" (50 MG )",40167216,RxNorm,2024-05-13,,
Drug 111651,0,VNR,"SIMVASTATIN ""SANDOZ"" (10 MG )",1539463,RxNorm,2024-05-13,,
Drug 120691,0,VNR,ATENOR (25 MG ),19018811,RxNorm,2024-05-13,,
Drug 500402,0,VNR,BLOXAZOC (25 MG ),40167211,RxNorm,2024-05-13,,
Drug 17196,0,VNR,"AMLODIPIN ""ACTAVIS"" (5 MG )",1332419,RxNorm,2024-05-13,,
Drug 438457,0,VNR,EFEXOR DEPOT (150 MG ),19103820,RxNorm,2024-05-13,,
Drug 467241,0,VNR,SPIROCORT TURBUHALER (200 MIKROGRAM/DOSIS ),35157438,RxNorm Extension,2024-05-13,,
Drug 401690,0,VNR,"SILDENAFIL ""1A FARMA"" (50 MG )",19079498,RxNorm,2024-05-13,,
Drug 96397,0,VNR,"SIMVASTATIN ""SANDOZ"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 429482,0,VNR,OMESTAD (20 MG ),19019418,RxNorm,2024-05-13,,
Drug 102609,0,VNR,"LAMOTRIGIN ""MYLAN"" (100 MG )",705108,RxNorm,2024-05-13,,
Drug 147512,0,VNR,PERLUTEX (5 MG ),40224835,RxNorm,2024-05-13,,
Drug 5538,0,VNR,MICROGYN (015 + 003 MG ),19057161,RxNorm,2024-05-13,,
Drug 477017,0,VNR,EZETROL (10 MG ),1526476,RxNorm,2024-05-13,,
Drug 478590,0,VNR,"ETHINYLESTRADIOL/LEVONORGESTREL ""ORIFARM"" (015 + 003 MG )",19057161,RxNorm,2024-05-13,,
Drug 76403,0,VNR,ZADITEN (025 MG/ML ),986148,RxNorm,2024-05-13,,
Drug 509868,0,VNR,TRADOLAN RETARD (100 MG ),792583,RxNorm,2024-05-13,,
Drug 17262,0,VNR,"AZITHROMYCIN ""1A FARMA"" (500 MG )",1734134,RxNorm,2024-05-13,,
Drug 8606,0,VNR,"SIMVASTATIN ""1A FARMA"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 552951,0,VNR,"TRANDOLAPRIL ""AUROBINDO"" (2 MG )",1342476,RxNorm,2024-05-13,,
Drug 72010,0,VNR,EUTHYROX (25 MIKROGRAM ),40175174,RxNorm,2024-05-13,,
Drug 76079,0,VNR,"RAMIPRIL ""HEXAL"" (25 MG )",1334461,RxNorm,2024-05-13,,
Drug 144980,0,VNR,RISOLID (25 MG ),40173817,RxNorm,2024-05-13,,
Drug 14028,0,VNR,"FLUCONAZOL ""NYCOMED"" (150 MG )",1754999,RxNorm,2024-05-13,,
Drug 591110,0,VNR,"ATORVASTATIN ""HEXAL"" (20 MG )",19123592,RxNorm,2024-05-13,,
Drug 500645,0,VNR,SAROTEN RETARD (25 MG ),40162716,RxNorm,2024-05-13,,
Drug 5028,0,VNR,SERACTIV (400 MG ),35887283,RxNorm Extension,2024-05-13,,
Drug 438762,0,VNR,CLARITYN (10 MG ),1107882,RxNorm,2024-05-13,,
Drug 5700,0,VNR,OXYNORM (10 MG ),40232706,RxNorm,2024-05-13,,
Drug 461210,0,VNR,LENDORM (0250 MG ),19039263,RxNorm,2024-05-13,,
Drug 70856,0,VNR,LERCASTAD (20 MG ),19015804,RxNorm,2024-05-13,,
Drug 504902,0,VNR,LEXOTAN (6 MG ),19030356,RxNorm,2024-05-13,,
Drug 503284,0,VNR,PINEX (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 493684,0,VNR,FURIX RETARD (30 MG ),19103817,RxNorm,2024-05-13,,
Drug 43448,0,VNR,TODOLAC (200 MG ),19007824,RxNorm,2024-05-13,,
Drug 4888,0,VNR,"METRONIDAZOL ""ACTAVIS"" (500 MG )",1707346,RxNorm,2024-05-13,,
Drug 24762,0,VNR,"ZOLPIDEM ""ACTAVIS"" (10 MG )",40163492,RxNorm,2024-05-13,,
Drug 380621,0,VNR,DERMOVAT (05 MG/G ),40031310,RxNorm,2024-05-13,,
Drug 482198,0,VNR,MALFIN (10 MG ),40169893,RxNorm,2024-05-13,,
Drug 22939,0,VNR,SEREVENT (25 MIKG/DOSIS ),2071142,RxNorm Extension,2024-05-13,,
Drug 545681,0,VNR,BACTROBAN (2% ),40062282,RxNorm,2024-05-13,,
Drug 991,0,VNR,FEM-MONO RETARD (60 MG ),1383862,RxNorm,2024-05-13,,
Drug 88260,0,VNR,"CIMETIDIN ""HEXAL"" (400 MG )",19018875,RxNorm,2024-05-13,,
Drug 443770,0,VNR,RETARDIN (NA ),40243340,RxNorm,2024-05-13,,
Drug 504225,0,VNR,CALCIPEN (1 MILL. IE ),40067083,RxNorm,2024-05-13,,
Drug 1527,0,VNR,NEXIUM (20 MG ),904457,RxNorm,2024-05-13,,
Drug 100453,0,VNR,"METADON ""DAK"" (20 MG )",36884772,RxNorm Extension,2024-05-13,,
Drug 24187,0,VNR,"METOPROLOLSUCCINAT ""HEXAL"" (50 MG )",40167216,RxNorm,2024-05-13,,
Drug 66422,0,VNR,DURAPHAT (5 MG/G ),40081744,RxNorm,2024-05-13,,
Drug 166875,0,VNR,"IBUPROFEN ""ORIFARM"" (400 MG )",19019072,RxNorm,2024-05-13,,
Drug 411496,0,VNR,ABBOTICIN (500 MG ),1747296,RxNorm,2024-05-13,,
Drug 570088,0,VNR,"BISOPROLOL ""SANDOZ"" (5 MG )",40162878,RxNorm,2024-05-13,,
Drug 477590,0,VNR,"MOMETASONE ""SANDOZ"" (50 MIKROGRAM/DOSIS )",42480110,RxNorm Extension,2024-05-13,,
Drug 56732,0,VNR,"CITALOPRAM ""SANDOZ"" (10 MG )",797632,RxNorm,2024-05-13,,
Drug 592470,0,VNR,GABARATIO (300 MG ),19077548,RxNorm,2024-05-13,,
Drug 13296,0,VNR,OMONA (20 MG ),19019418,RxNorm,2024-05-13,,
Drug 138909,0,VNR,AKARIN (40 MG ),19075394,RxNorm,2024-05-13,,
Drug 459859,0,VNR,CYKLOKAPRON (500 MG ),19004047,RxNorm,2024-05-13,,
Drug 438788,0,VNR,CLARITYN (10 MG ),1107882,RxNorm,2024-05-13,,
Drug 420992,0,VNR,DULCOLAX (5 MG ),19074247,RxNorm,2024-05-13,,
Drug 97881,0,VNR,AMARYL (3 MG ),1597758,RxNorm,2024-05-13,,
Drug 135216,0,VNR,TOUJEO SOLOSTAR (300 ENHEDER/ML ),44045584,RxNorm Extension,2024-05-13,,
Drug 5845,0,VNR,CIPRALEX (10 MG ),715940,RxNorm,2024-05-13,,
Drug 77463,0,VNR,ALTIFEX (180 MG ),40223815,RxNorm,2024-05-13,,
Drug 517730,0,VNR,"TETRACYKLIN ""DAK"" (250 MG )",1836973,RxNorm,2024-05-13,,
Drug 167345,0,VNR,"DIGOXIN ""DAK"" (250 MIKROGRAM )",19018937,RxNorm,2024-05-13,,
Drug 59249,0,VNR,"ENALAPRIL ""TEVA"" (5 MG )",40165789,RxNorm,2024-05-13,,
Drug 448795,0,VNR,BRICANYL (03 MG/ML ),40163427,RxNorm,2024-05-13,,
Drug 557686,0,VNR,ISODUR (60 MG ),1383846,RxNorm,2024-05-13,,
Drug 475,0,VNR,ALLERGODIL (005% ),40133585,RxNorm,2024-05-13,,
Drug 505966,0,VNR,"DIAZEPAM ""DAK"" (2 MG )",19018909,RxNorm,2024-05-13,,
Drug 542489,0,VNR,"LAMOTRIGIN ""ORION"" (50 MG )",705152,RxNorm,2024-05-13,,
Drug 445155,0,VNR,FUCIDIN-HYDROCORTISON (10+20 MG/G ),40131789,RxNorm,2024-05-13,,
Drug 26119,0,VNR,LANTUS SOLOSTAR (100 E/ML ),701385,RxNorm,2024-05-13,,
Drug 21502,0,VNR,"RAMIPRIL ""ACTAVIS"" (25 MG )",1334461,RxNorm,2024-05-13,,
Drug 496973,0,VNR,PRIMINOVA (800 MG ),19106639,RxNorm,2024-05-13,,
Drug 567545,0,VNR,BENALIV (50 MIKROGRAM/DOSIS ),1831827,RxNorm Extension,2024-05-13,,
Drug 440123,0,VNR,ULTRACORTENOL (05% ),40073449,RxNorm,2024-05-13,,
Drug 469957,0,VNR,"SOTALOL ""ACTAVIS"" (80 MG )",1594705,RxNorm,2024-05-13,,
Drug 462064,0,VNR,"ATORVASTATIN ""HEXAL"" (40 MG )",1545996,RxNorm,2024-05-13,,
Drug 60905,0,VNR,NITROMEX (050 MG ),1361861,RxNorm,2024-05-13,,
Drug 399489,0,VNR,"ZOLPIDEM ""AUROBINDO"" (10 MG )",40163492,RxNorm,2024-05-13,,
Drug 126926,0,VNR,XARELTO (15 MG ),40244444,RxNorm,2024-05-13,,
Drug 24481,0,VNR,BRICANYL (03 MG/ML ),40163427,RxNorm,2024-05-13,,
Drug 535674,0,VNR,STILNOX (10 MG ),40163492,RxNorm,2024-05-13,,
Drug 86704,0,VNR,"DULOXETIN ""HEXAL"" (60 MG )",715300,RxNorm,2024-05-13,,
Drug 585851,0,VNR,EUM,43715215,RxNorm Extension,2024-05-13,,
Drug 48017,0,VNR,MGM,40051138,RxNorm,2024-05-13,,
Drug 461203,0,VNR,DAISYNELLE (015+002 MG ),1549852,RxNorm,2024-05-13,,
Drug 444464,0,VNR,"GABAPENTIN ""AUROBINDO"" (300 MG )",19077548,RxNorm,2024-05-13,,
Drug 592198,0,VNR,"FELODIPIN ""TEVA"" (10 MG )",19125704,RxNorm,2024-05-13,,
Drug 59511,0,VNR,GANGIDEN (NA ),35603159,RxNorm,2024-05-13,,
Drug 144964,0,VNR,RISOLID (10 MG ),40173809,RxNorm,2024-05-13,,
Drug 14595,0,VNR,TODOLAC (300 MG ),1195536,RxNorm,2024-05-13,,
Drug 80833,0,VNR,"MIRTAZAPIN ""ACTAVIS"" (15 MG )",725178,RxNorm,2024-05-13,,
Drug 39362,0,VNR,VIBRADOX (100 MG ),46233710,RxNorm,2024-05-13,,
Drug 455121,0,VNR,"ZOPICLONE ""ACTAVIS"" (75 MG )",19044885,RxNorm,2024-05-13,,
Drug 30528,0,VNR,DICLON (100 MG ),40162326,RxNorm,2024-05-13,,
Drug 130816,0,VNR,"GABAPENTIN ""SANDOZ"" (300 MG )",19077548,RxNorm,2024-05-13,,
Drug 8066,0,VNR,"OMEPRAZOL ""RATIOPHARM"" (20 MG )",19019418,RxNorm,2024-05-13,,
Drug 23982,0,VNR,"LANSOPRAZOL ""KRKA"" (30 MG )",929889,RxNorm,2024-05-13,,
Drug 153671,0,VNR,IBUMETIN (600 MG ),19019073,RxNorm,2024-05-13,,
Drug 530540,0,VNR,HJERTEMAGNYL (150 MG ),19059059,RxNorm,2024-05-13,,
Drug 401976,0,VNR,"FENEMAL ""DLF"" (100 MG )",19019586,RxNorm,2024-05-13,,
Drug 476759,0,VNR,TRADOLAN RETARD (100 MG ),792583,RxNorm,2024-05-13,,
Drug 81216,0,VNR,"PROPRANOLOL ""DAK"" (40 MG )",40163342,RxNorm,2024-05-13,,
Drug 502336,0,VNR,PERILAX (5 MG ),19074247,RxNorm,2024-05-13,,
Drug 49684,0,VNR,LAMISIL (10 MG/G ),40102767,RxNorm,2024-05-13,,
Drug 101296,0,VNR,"OMEPRAZOL ""ACTAVIS"" (20 MG )",19019418,RxNorm,2024-05-13,,
Drug 542738,0,VNR,PROPAL RETARD (80 MG ),40163356,RxNorm,2024-05-13,,
Drug 28870,0,VNR,"ALENDRONAT ""STADA"" (70 MG )",40173612,RxNorm,2024-05-13,,
Drug 5,0,VNR,RISPERDAL (05 MG ),736021,RxNorm,2024-05-13,,
Drug 468447,0,VNR,"PROPYLTIOURACIL ""MEDIC"" (100 MG )",1554074,RxNorm,2024-05-13,,
Drug 440610,0,VNR,NIZAX (150 MG ),19079088,RxNorm,2024-05-13,,
Drug 190226,0,VNR,"SIMVASTATIN ""MYLAN"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 165852,0,VNR,PRIMPERAN (10 MG ),906891,RxNorm,2024-05-13,,
Drug 509273,0,VNR,OVESTIN (1 MG/G ),40037935,RxNorm,2024-05-13,,
Drug 21808,0,VNR,BRENTAN (20 MG/G ),40063847,RxNorm,2024-05-13,,
Drug 129319,0,VNR,CONCERTA (54 MG ),964278,RxNorm,2024-05-13,,
Drug 484656,0,VNR,"PROPRANOLOL ""DAK"" (40 MG )",40163342,RxNorm,2024-05-13,,
Drug 508952,0,VNR,NUVELLE (NA ),21148852,RxNorm Extension,2024-05-13,,
Drug 104498,0,VNR,CIRCADIN (2 MG ),19022946,RxNorm,2024-05-13,,
Drug 548978,0,VNR,"MORFIN ""ALTERNOVA"" (10 MG )",40169894,RxNorm,2024-05-13,,
Drug 187260,0,VNR,VALAXONA (5 MG ),723042,RxNorm,2024-05-13,,
Drug 373324,0,VNR,SERETIDE (50+100 MIKROG./DOSIS ),36882733,RxNorm Extension,2024-05-13,,
Drug 129596,0,VNR,"EZETIMIB ""SANDOZ"" (10 MG )",1526476,RxNorm,2024-05-13,,
Drug 11209,0,VNR,TADOL (50 MG ),1103398,RxNorm,2024-05-13,,
Drug 20826,0,VNR,EFEXOR (375 MG ),743720,RxNorm,2024-05-13,,
Drug 20806,0,VNR,"DOXAZOSIN ""STADA"" (4 MG )",1363086,RxNorm,2024-05-13,,
Drug 125364,0,VNR,GEMADOL RETARD (50 MG ),19135765,RxNorm,2024-05-13,,
Drug 513481,0,VNR,"METADON ""DAK"" (1 MG/ML )",40166310,RxNorm,2024-05-13,,
Drug 14060,0,VNR,"SIMVASTATIN ""ALTERNOVA"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 19971,0,VNR,"DOMPERIDON ""ALTERNOVA"" (10 MG )",19037834,RxNorm,2024-05-13,,
Drug 123787,0,VNR,"LEVODOPA/BENSERAZID ""TEVA"" (100+25 MG )",36881171,RxNorm Extension,2024-05-13,,
Drug 490176,0,VNR,"RAMIPRIL ""STADA"" (10 MG )",19102170,RxNorm,2024-05-13,,
Drug 585747,0,VNR,"ALLOPURINOL ""SANDOZ"" (100 MG )",1167323,RxNorm,2024-05-13,,
Drug 414533,0,VNR,"DICLOXACILLIN ""ALTERNOVA"" (500 MG )",1724668,RxNorm,2024-05-13,,
Drug 38653,0,VNR,MOTILIUM (10 MG ),19037834,RxNorm,2024-05-13,,
Drug 80465,0,VNR,DISIPAL (50 MG ),40223008,RxNorm,2024-05-13,,
Drug 581850,0,VNR,TIMACAR DEPOT (5 MG/ML ),1594709,RxNorm,2024-05-13,,
Drug 452953,0,VNR,IMUREL (50 MG ),19014880,RxNorm,2024-05-13,,
Drug 384125,0,VNR,JARDIANCE (10 MG ),45774754,RxNorm,2024-05-13,,
Drug 133092,0,VNR,MG,40056523,RxNorm,2024-05-13,,
Drug 454165,0,VNR,ZOCOR (10 MG ),1539463,RxNorm,2024-05-13,,
Drug 592557,0,VNR,VICTOZA (6 MG/ML ),44123182,RxNorm Extension,2024-05-13,,
Drug 418043,0,VNR,PRADAXA (150 MG ),40228154,RxNorm,2024-05-13,,
Drug 571046,0,VNR,ALTIFEX (180 MG ),40223815,RxNorm,2024-05-13,,
Drug 91015,0,VNR,"VENLAFAXIN ""KRKA"" (375 MG )",19134632,RxNorm,2024-05-13,,
Drug 416773,0,VNR,ELIQUIS (5 MG ),43013030,RxNorm,2024-05-13,,
Drug 169748,0,VNR,PACISYN (5 MG ),19020025,RxNorm,2024-05-13,,
Drug 443415,0,VNR,"ATORVASTATIN ""ACCORD"" (20 MG )",19123592,RxNorm,2024-05-13,,
Drug 31351,0,VNR,LAMICTAL (200 MG ),705110,RxNorm,2024-05-13,,
Drug 28084,0,VNR,DIANE MITE (NA ),1549830,RxNorm,2024-05-13,,
Drug 567332,0,VNR,LIPISTAD (40 MG ),1545996,RxNorm,2024-05-13,,
Drug 596699,0,VNR,"ALLOPURINOL ""ORION"" (100 MG )",1167323,RxNorm,2024-05-13,,
Drug 33924,0,VNR,CRESTOR (10 MG ),40165245,RxNorm,2024-05-13,,
Drug 160523,0,VNR,STEMETIL (5 MG ),752205,RxNorm,2024-05-13,,
Drug 566182,0,VNR,AZOPT (10 MG/ML ),19074334,RxNorm,2024-05-13,,
Drug 527276,0,VNR,"DESOGESTREL ""ORIFARM"" (75 MIKROGRAM )",19101869,RxNorm,2024-05-13,,
Drug 39978,0,VNR,"FLUCONAZOL ""KRKA"" (150 MG )",1754999,RxNorm,2024-05-13,,
Drug 163881,0,VNR,REGENON (25 MG ),19103337,RxNorm,2024-05-13,,
Drug 445973,0,VNR,"IMIPRAMIN ""DAK"" (10 MG )",778357,RxNorm,2024-05-13,,
Drug 431366,0,VNR,GLEPARK (0088 MG ),21043090,RxNorm Extension,2024-05-13,,
Drug 187377,0,VNR,DOLOXENE (100 MG ),19135531,RxNorm,2024-05-13,,
Drug 438044,0,VNR,FOLIMET (5 MG ),1387453,RxNorm,2024-05-13,,
Drug 177766,0,VNR,KENALOG COMP. MED MYCOSTATIN (NA ),44120495,RxNorm Extension,2024-05-13,,
Drug 576127,0,VNR,"METADON ""DAK"" (20 MG )",36884772,RxNorm Extension,2024-05-13,,
Drug 573790,0,VNR,VOLTAREN RAPID (50 MG ),40162307,RxNorm,2024-05-13,,
Drug 579066,0,VNR,"SERTRALIN ""ACCORD"" (50 MG )",739209,RxNorm,2024-05-13,,
Drug 56036,0,VNR,DOLODENT (5+75 MG/G ),917006,RxNorm,2024-05-13,,
Drug 56036,0,VNR,DOLODENT (5+75 MG/G ),40161341,RxNorm,2024-05-13,,
Drug 407181,0,VNR,PENOMAX (400 MG ),36892666,RxNorm Extension,2024-05-13,,
Drug 153312,0,VNR,DOMNAMID (2 MG ),748032,RxNorm,2024-05-13,,
Drug 517953,0,VNR,"TOLBUTAMID ""DAK"" (500 MG )",1502856,RxNorm,2024-05-13,,
Drug 160461,0,VNR,"METOPROLOLSUCCINAT ""ACTAVIS"" (100 MG )",40167200,RxNorm,2024-05-13,,
Drug 24970,0,VNR,PULMICORT TURBUHALER (400 MIKROGRAM/DOSIS ),36813122,RxNorm Extension,2024-05-13,,
Drug 23661,0,VNR,"SIMVASTATIN ""KRKA"" (10 MG )",1539463,RxNorm,2024-05-13,,
Drug 121582,0,VNR,ANAFRANIL (25 MG ),40163065,RxNorm,2024-05-13,,
Drug 595791,0,VNR,"LATANOPROST ""STADA"" (50 MIKROGRAM/ML )",19080125,RxNorm,2024-05-13,,
Drug 146150,0,VNR,APHIAHSONE (50 MIKROGRAM/DOSIS ),42480110,RxNorm Extension,2024-05-13,,
Drug 460303,0,VNR,FLEMOXIN SOLUTAB (750 MG ),19006461,RxNorm,2024-05-13,,
Drug 8927,0,VNR,CIALIS (20 MG ),1511304,RxNorm,2024-05-13,,
Drug 413944,0,VNR,GANGIDEN (NA ),35603159,RxNorm,2024-05-13,,
Drug 1786,0,VNR,XALATAN (50 MIKG/ML ),19080125,RxNorm,2024-05-13,,
