sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:full_add_eng,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
J07BB010,Influenza; inactivated; whole virus,1320,,solution for injection; susp. in syringe,0.36,APPROVED,INEXACT,Tomer Sagi,1731054276928,36782734,Influenza A virus / Influenza B virus Injectable Suspension [INFLUVAC],Drug,MAPS_TO,no strain / brand info,Tomer Sagi,1731054272683,
J07CA020,Repevax,24,,,0.49,APPROVED,EQUAL,Tomer Sagi,1731489327656,43791901,0.5 ML Bordetella pertussis 0.01 MG/ML Injectable Suspension [Repevax],Drug,MAPS_TO,Branded,Tomer Sagi,1731489322523,
J07BK0132129971747,Varicella Varivax,8974,,solution for injection; susp. in syringe,0.42,APPROVED,EQUAL,Tomer Sagi,1731935171591,43218118,Varicella Virus Vaccine Live (Oka-Merck) strain Injectable Suspension [Varivax],Drug,MAPS_TO,Branded,Tomer Sagi,1731935169447,
J07AL02170238,Pneumococcal conjugate Prevenar 7,153,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731493805317,35770581,pneumococcal capsular polysaccharide type 1 vaccine Injectable Solution [Prevnar],Drug,MAPS_TO,No dosage information,Tomer Sagi,1731493804468,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,46275646,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2015-2016],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051158924,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,36249402,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2016-2017],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051163579,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,1593344,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2017-2018],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051166993,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,35200057,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2018-2019],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051175933,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,1361085,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2019-2020],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051180621,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,1146451,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2020-2021],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051184782,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,1758615,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2021-2022],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051187951,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,780080,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2022-2023],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051197934,
J07BB0,Fluzone; High-dose,6,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051244363,746082,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2023-2024],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051200172,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,11,,1*0.5 ml. Adults from 15 r m. renal insuff. solution for injection; susp. in syringe,0.39,APPROVED,WIDER,Tomer Sagi,1731053280623,46275230,hepatitis B surface antigen vaccine Injection [Engerix-B],Drug,MAPS_TO,no dosage/age info for Engerix,<auto>,1730992778657,
J07BG32120419986,Conquer Verorab,11423,,solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731489945232,2033674,0.5 ML rabies virus 5 IU/ML Injectable Suspension [Verorab],Drug,MAPS_TO,Branded,Tomer Sagi,1731489943739,
J07AL02170238,Prevenar 13 Prevenar 7,15,,solution for injection; susp. in syringe,0.33,APPROVED,EQUAL,Tomer Sagi,1731490834894,40748485,Streptococcus pneumoniae Injectable Solution [Prevenar 13],Drug,MAPS_TO,No dosage information,<auto>,1730992779737,
J07BC200,Hepatitis A B combinations; Ambirix,2811,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731052690439,36065571,hepatitis A virus / hepatitis B surface antigen vaccine Injection [Ambirix],Drug,MAPS_TO,No dosage information,<auto>,1730992779816,
J07BM030,Human Papillomavirus 6; 11; 17; 18; 31; 33; 45; 52; 58,8647,,solution for injection; susp. in syringe,0.31,APPROVED,INEXACT,Tomer Sagi,1731053950016,46275947,"L1 protein, human papillomavirus type 11 vaccine / L1 protein, human papillomavirus type 16 vaccine / L1 protein, human papillomavirus type 18 vaccine / L1 protein, human papillomavirus type 31 vaccine / L1 protein, human papillomavirus type 33 vaccine...",Drug,MAPS_TO,"no OMOP code for 17, may be a typo in DDV",<auto>,1730992780249,
J07BB030,Influenza; live weakened,3249,,solution for injection; susp. in syringe,0.23,APPROVED,INEXACT,Tomer Sagi,1731054381570,36782734,Influenza A virus / Influenza B virus Injectable Suspension [INFLUVAC],Drug,MAPS_TO,no brand / strain info,<auto>,1730992781144,
J07BM0132117338539,Human Papillomavirus types 6; 11; 16; 18 Gardasil,16010,,1 * 0.5ml. Persons from the age of 9. solution for injection; susp. in syringe,0.54,APPROVED,EQUAL,Tomer Sagi,1731497717746,529081,"0.5 ML L1 protein, human papillomavirus type 11 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 16 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 18 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 6 vaccine 0.04 MG/ML...",Drug,MAPS_TO,Branded,Tomer Sagi,1731497715907,
J07BG32120419986,Conquer Verorab,6537,,1 * 0.5 ml. Adults and children solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731497931278,2033674,0.5 ML rabies virus 5 IU/ML Injectable Suspension [Verorab],Drug,MAPS_TO,Branded,Tomer Sagi,1731497916188,
J07BC0132117338523,Hepatitis B HBVAXPRO,1571,,solution for injection; susp. in syringe,0.62,APPROVED,EQUAL,Tomer Sagi,1731498044808,21135958,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [HBvaxPRO],Drug,MAPS_TO,Branded,Tomer Sagi,1731498037562,
J07AL020,Prevenar 13,40,,solution for injection; susp. in syringe,0.45,APPROVED,EQUAL,Tomer Sagi,1731493929678,40748485,Streptococcus pneumoniae Injectable Solution [Prevenar 13],Drug,MAPS_TO,No dosage information,<auto>,1730992782834,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,46275646,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2015-2016],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051736106,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,36249402,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2016-2017],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051738858,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,1593344,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2017-2018],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051742692,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,35200057,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2018-2019],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051746063,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,1361085,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2019-2020],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051749977,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,1146451,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2020-2021],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051753696,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,1758615,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2021-2022],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051757032,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,780080,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2022-2023],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051759534,
J07BB0,Fluzone high dose quadrivalent,113,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051763831,746082,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2023-2024],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051762303,
J07BM030,Gardasil 9,55,,solution for injection; susp. in syringe,0.48,APPROVED,EQUAL,Tomer Sagi,1731498301024,36281072,0.5 ML Human Papillomavirus 0.54 MG/ML Injectable Suspension [Gardasil 9],Drug,MAPS_TO,Branded,Tomer Sagi,1731498282821,
J07BC020,Hepatitis A,30409,,solution for injection; susp. in syringe,0.49,APPROVED,EQUIVALENT,Tomer Sagi,1731052257843,36065578,hepatitis A virus Injection [Epaxal],Drug,MAPS_TO,Unknown branding,<auto>,1730992784220,
J07BC20191322,Hepatitis A and B combinations Twinrix Voksen,35,,solution for injection; susp. in syringe,0.40,APPROVED,EQUAL,Tomer Sagi,1731498611369,43259421,0.5 ML Hepatitis A Virus 360 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Twinrix],Drug,MAPS_TO,Branded,Tomer Sagi,1731498604740,
J07BG0132120419986,Conquer Verorab,2847,,solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731498685417,2033674,0.5 ML rabies virus 5 IU/ML Injectable Suspension [Verorab],Drug,MAPS_TO,Branded,Tomer Sagi,1731498678060,
J07BC0132117338523,Hepatitis B HBVAXPRO,1363,,1 * 0.5ml. Children 0 to and including 15 years. Injection; susp. in syringe,0.62,APPROVED,WIDER,Tomer Sagi,1731053418251,21071201,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [HBvaxPRO],Drug,MAPS_TO,no dosage/age info for HBVaxPro,Tomer Sagi,1731053415602,
J07AL0232174918347,Apexx fool Apexxnar,3700,,1 * 0.5 ml; Adults from 18 years of age injection; susp. in syringe,0.54,APPROVED,EQUAL,Tomer Sagi,1731003549501,36932734,Streptococcus pneumoniae Injectable Suspension [Apexxnar],Drug,MAPS_TO,Could not find a Quant brand drug form,<auto>,1730992785901,
J07BX0432185328549,Qdenga Qdenga,3648,,Dengue fever,0.31,APPROVED,INEXACT,Tomer Sagi,1731491304147,36891488,Yellow Fever Vaccine Injection,Drug,MAPS_TO,No dosage/barand information,Tomer Sagi,1731491302218,
J07BM010,Human Papillomavirus types 6; 11; 16; 18,1284616,,solution for injection; susp. in syringe,0.43,APPROVED,EQUIVALENT,Tomer Sagi,1731054179533,40150716,"L1 protein, human papillomavirus type 11 vaccine / L1 protein, human papillomavirus type 16 vaccine / L1 protein, human papillomavirus type 18 vaccine / L1 protein, human papillomavirus type 6 vaccine Prefilled Syringe [Gardasil]",Drug,MAPS_TO,no brand info,Tomer Sagi,1731054164462,
J07BC02191312,Hepatitis A Havrix,108,,solution for injection; susp. in syringe,0.75,APPROVED,EQUAL,Tomer Sagi,1731499033199,43264844,0.5 ML Hepatitis A Virus 1440 UNT/ML Injection [Havrix],Drug,MAPS_TO,Branded,Tomer Sagi,1731499023174,
J07BG0132120419986,Conquer Verorab,1072,,1 * 0.5 ml. Adults and children solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731499174552,42963026,Rabies virus 5 UNT/ML Injectable Solution [Verorab],Drug,MAPS_TO,Branded,Tomer Sagi,1731499173464,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,46275646,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2015-2016],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051769696,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,36249402,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2016-2017],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051772177,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,1593344,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2017-2018],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051775055,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,35200057,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2018-2019],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051778579,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,1361085,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2019-2020],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051794413,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,1146451,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2020-2021],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051797754,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,1758615,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2021-2022],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051800453,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,780080,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2022-2023],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051802812,
J07BB020,Fluzone high dose quadrivalent,10,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731051807259,746082,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone Quadrivalent 2023-2024],Drug,MAPS_TO,Match to specific code by year by actual date of administration,Tomer Sagi,1731051805615,
J07BX0432185328549,Qdenga Qdenga,160,,,0.31,APPROVED,INEXACT,Tomer Sagi,1731491307950,36891488,Yellow Fever Vaccine Injection,Drug,MAPS_TO,No dosage informtion,Tomer Sagi,1731491306216,
J07BC0132117338523,Hepatitis B HBVAXPRO 5 mikrogram/ 0;5 ml,300,,solution for injection; susp. in syringe,0.34,APPROVED,WIDER,Tomer Sagi,1731053471408,21071201,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [HBvaxPRO],Drug,MAPS_TO,no dosage/age info for HBVaxPro,Tomer Sagi,1731053470224,
J07BC2032117338513,Hepatitis A and B combinations Twinrix Voksen,445704,,1 * 1 ml. Adults from 16 years of age. Injection; susp. in syringe,0.40,APPROVED,EQUAL,Tomer Sagi,1731499416030,43275213,1 ML Hepatitis A Virus 720 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Twinrix],Drug,MAPS_TO,Branded,Tomer Sagi,1731499411890,
J07BG010,Conquer,313,,solution for injection; susp. in syringe,0.49,APPROVED,EQUAL,Tomer Sagi,1731499497280,2033674,0.5 ML rabies virus 5 IU/ML Injectable Suspension [Verorab],Drug,MAPS_TO,Branded,Tomer Sagi,1731499496349,
J07BC0232117338511,Hepatitis A Havrix,212130,,solution for injection; susp. in syringe,0.75,APPROVED,EQUAL,Tomer Sagi,1731499589624,43264198,1 ML Hepatitis A Virus 1440 UNT/ML Injection [Havrix],Drug,MAPS_TO,Branded,Tomer Sagi,1731499586683,
J07BX040,Qdenga,9,,,0.19,APPROVED,INEXACT,Tomer Sagi,1731491298246,36891488,Yellow Fever Vaccine Injection,Drug,MAPS_TO,brand QDenga not available from OMOP,Tomer Sagi,1731491294416,
J07BM0232117338540,Human papillomavirus type 16; 18 Cervarix,30354,,1 * 0.5ml. Persons from the age of 9. solution for injection; susp. in syringe,0.61,APPROVED,EQUAL,Tomer Sagi,1731499763200,43281227,"0.5 ML L1 protein, Human papillomavirus type 16 Vaccine 0.02 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.02 MG/ML Injection [Cervarix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731499754643,
J07BB02170577,Influenza; purified antigen Influvac,256,,1 * 0.5 ml. Adults and children from 6 months injection; susp. in syringe,0.51,APPROVED,EQUIVALENT,Tomer Sagi,1731055368654,36782734,Influenza A virus / Influenza B virus Injectable Suspension [INFLUVAC],Drug,MAPS_TO,"Unknown strain, no dosage info in OMOP",Tomer Sagi,1731055365361,
J07BG0,Conquer,1664,,solution for injection; susp. in syringe,0.49,APPROVED,EQUAL,Tomer Sagi,1731499878472,2033674,0.5 ML rabies virus 5 IU/ML Injectable Suspension [Verorab],Drug,MAPS_TO,Branded,Tomer Sagi,1731499870850,
J07AJ5232186293947,Di-Te-Ki (acellulr whooping cough) Triaxis,4034,,solution for injection; susp. in syringe,0.16,APPROVED,EQUIVALENT,Tomer Sagi,1731016716425,36790362,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Prefilled Syringe [Triaxis]",Drug,MAPS_TO,No brand information,Tomer Sagi,1731016712933,
J07BC0132117338523,Hepatitis B HBVAXPRO 5 mikrogram/ 0;5 ml,107,,1 * 0.5ml. Children 0 to and including 15 years. Injection; susp. in syringe,0.34,APPROVED,WIDER,Tomer Sagi,1731053477507,21071201,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [HBvaxPRO],Drug,MAPS_TO,no dosage/age info for HBVaxPro,Tomer Sagi,1731053476312,
J07BX0532191332966,Abrysvo Abrysvo,250,,,0.42,APPROVED,EQUAL,Tomer Sagi,1731501348727,747756,"0.5 ML respiratory syncytial virus pre-fusion F protein, A, recombinant, stabilized 0.12 MG/ML / respiratory syncytial virus pre-fusion F protein, B, recombinant, stabilized 0.12 MG/ML Injection [Abrysvo]",Drug,MAPS_TO,Branded,Tomer Sagi,1731501324688,
J07BC2032117338513,Hepatitis A and B combinations Twinrix Voksen,238420,,solution for injection; susp. in syringe,0.40,APPROVED,EQUAL,Tomer Sagi,1731501508391,43259421,0.5 ML Hepatitis A Virus 360 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Twinrix],Drug,MAPS_TO,Branded,Tomer Sagi,1731501506079,
J07BC0232117338511,Hepatitis A Havrix,80471,,1 * 1 ml. Adults from 16 years of age injection; susp. in syringe,0.75,APPROVED,EQUAL,Tomer Sagi,1731501611955,43264198,1 ML Hepatitis A Virus 1440 UNT/ML Injection [Havrix],Drug,MAPS_TO,No age information,Tomer Sagi,1731501603871,
J07BX0532191332966,Abrysvo Abrysvo,49,,,0.42,APPROVED,EQUAL,Tomer Sagi,1731501789091,1201561,"0.5 ML respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML Injection [Arexvy]",Drug,MAPS_TO,Branded,Tomer Sagi,1731501788129,
J07BH0132117338537,Rota virus Rotarix,6963,,oral; susp.,0.44,APPROVED,EQUAL,Tomer Sagi,1731501943860,41080809,"ROTAVIRUS VACCINE, LIVE Oral Solution [Rotarix]",Drug,MAPS_TO,No brand information,<auto>,1730992796461,
J07BC0132117338524,Hepatitis B HBVAXPRO,9621,,1 * 1 ml. Adults from 16 years of age. Injection; susp. in syringe,0.62,APPROVED,WIDER,Tomer Sagi,1731053427195,21071201,Hepatitis B Surface Antigen Vaccine Prefilled Syringe [HBvaxPRO],Drug,MAPS_TO,no dosage/age info for HBVaxPro,Tomer Sagi,1731053426330,
J07BC0232117338511,Hepatitis A Havrix,27254,,1 * 0.5ml. Child from 1 to 15 years injection solution; susp. in syringe,0.75,APPROVED,EQUIVALENT,Tomer Sagi,1731052869772,43264011,Hepatitis A Virus Injection [Havrix],Drug,MAPS_TO,no specific code for children ,<auto>,1730992798143,
J07BX0532186546564,Arexvy Arexvy,233,,,0.44,APPROVED,EQUAL,Tomer Sagi,1731003571165,1201050,respiratory syncytial virus pre-fusion F protein Injection [Arexvy],Drug,MAPS_TO,No brand information,Tomer Sagi,1731003567192,
J07BB02170577,Influenza purified antigen Influvac,1170464,,solution for injection; susp. in syringe,0.58,APPROVED,EQUIVALENT,Tomer Sagi,1731055938977,36782734,Influenza A virus / Influenza B virus Injectable Suspension [INFLUVAC],Drug,MAPS_TO,No strain info,Tomer Sagi,1731055927160,
J07BC2032117338514,Hepatitis A and B combinations Twinrix Paediatric,57385,,1 * 0.5ml. Child from 1 up to and including 15 years. injection solution; susp. in syringe,0.57,APPROVED,EQUAL,Tomer Sagi,1731502385555,44132857,"0.5 ML Hepatitis A Vaccine, Inactivated 720 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Twinrix]",Drug,MAPS_TO,No age information,Tomer Sagi,1731502344575,
J07BM0232117338540,Human papillomavirus type 16; 18 Cervarix,21538,,solution for injection; susp. in syringe,0.61,APPROVED,EQUAL,Tomer Sagi,1731504249526,42873514,"0.5 ML human papillomavirus type 16, L1 capsid protein (residues 2-471) vaccine 0.04 MG/ML / human papillomavirus type 18, L1 capsid protein (residues 2-472) vaccine 0.04 MG/ML Prefilled Syringe [Cervarix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731504246772,
J07AL0132117338518,Pneumococcal polysaccharide 23 valent Pneumovax,1084363,,solution for injection; susp. in syringe,0.62,APPROVED,EQUAL,Tomer Sagi,1731504452423,43519177,0.5 ML pneumococcal capsular polysaccharide type 10A vaccine 0.025 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.025 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.025 MG/ML / ... Injection [Pneumovax 23],Drug,MAPS_TO,Branded,Tomer Sagi,1731504442402,
J07BC0132117338524,Hepatitis B HBVAXPRO,7522,,solution for injection; susp. in syringe,0.62,APPROVED,EQUAL,Tomer Sagi,1731504576312,41408027,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Solution [HBvaxPRO],Drug,MAPS_TO,Branded,Tomer Sagi,1731504573515,
J07BX0532186546564,Arexvy Arexvy,50,,,0.44,APPROVED,EQUAL,Tomer Sagi,1731003571648,1201050,respiratory syncytial virus pre-fusion F protein Injection [Arexvy],Drug,MAPS_TO,No brand information,<auto>,1730992800508,
J07BH0132117338537,Rota virus Rotarix,2185,,1 * 1.5ml. Child from 6 weeks of age. oral; susp.,0.44,APPROVED,EQUAL,Tomer Sagi,1731504774109,41080809,"ROTAVIRUS VACCINE, LIVE Oral Solution [Rotarix]",Drug,MAPS_TO,No brand information,<auto>,1730992800591,
J07BC32117338522,Hepatitis A Vaqta,292314,,1 * 1 ml. Adults over 17 years. Injection; susp. in syringe,0.81,APPROVED,EQUAL,Tomer Sagi,1731052984207,35774884,"Hepatitis A Vaccine, Inactivated Injectable Solution [VAQTA Adult]",Drug,MAPS_TO,No brand and age information,Tomer Sagi,1731052983400,
J07BB02170577,Influenza; purified antigen Influvac,48214,,1 * 1 0.5ml. Adults and children over 6 months injection solution; susp. in syringe,0.51,APPROVED,EQUIVALENT,Tomer Sagi,1731055379899,36782734,Influenza A virus / Influenza B virus Injectable Suspension [INFLUVAC],Drug,MAPS_TO,"Unknown strain, no dosage info in OMOP",Tomer Sagi,1731055373108,
J07CA0132122576765,Di-Te-Pol DiTePol,515,,,0.22,APPROVED,EQUIVALENT,Tomer Sagi,1731020632749,42935054,Itraconazole Oral Tablet [I-TRA],Drug,MAPS_TO,No brand info,<auto>,1730992803340,
J07BH010,Rota virus,1401,,oral; susp.,0.37,APPROVED,EQUAL,Tomer Sagi,1731505005140,36065578,hepatitis A virus Injection [Epaxal],Drug,MAPS_TO,No dosage information,<auto>,1730992803952,
J07BC32117338522,Hepatitis A Vaqta,94451,,1* 0.5 ml. Children from 1-17 years injection solution; susp. in syringe,0.81,APPROVED,EQUAL,Tomer Sagi,1731052908172,35766297,"Hepatitis A Vaccine, Inactivated Injectable Solution [VAQTA Paediatric]",Drug,MAPS_TO,No age information,Tomer Sagi,1731052906472,
