sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:orig,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
KJDA55,Endoscopic dilation of pylorus,6775,,Finland,1.0,APPROVED,EQUAL,SBRU,1731943946626,2108893,"Esophagogastroduodenoscopy, flexible, transoral, with dilation of gastric/duodenal stricture(s) (eg, balloon, bougie)",Procedure,MAPS_TO,,SBRU,1731943900192,
KCEC00,Recession of eye muscle,12570,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987495845,4239558,Recession of eye muscle,Procedure,MAPS_TO,,<auto>,1729857080099,
KNGE45,Unmapped,28155,,Finland,0.28,APPROVED,EQUIVALENT,SBRU,1730708061437,4292075,Arthroscopically aided anterior cruciate ligament reconstruction,Procedure,MAPS_TO,,SBRU,1730707953633,
KLCH03,Dilation of cervix uteri and curettage for termination of pregnancy,231923,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4168396,Dilation of cervix uteri and curettage for termination of pregnancy,Procedure,MAPS_TO,,<auto>,1729857080226,
KJAD10,Repair of incisional hernia,12177,,Finland,1.0,APPROVED,EQUAL,SBRU,1731941946704,4031970,Repair of incisional hernia,Procedure,MAPS_TO,,<auto>,1729857080226,
KUJK02,Endoscopic retrograde cholangiopancreatography,168489,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039760168,4304943,Endoscopic retrograde cholangiopancreatography,Procedure,MAPS_TO,,<auto>,1729857080302,
KKAE12,Nephroscopic lithotripsy of renal calculus,28227,,Finland,1.0,APPROVED,EQUAL,SBRU,1732009554291,4303291,Nephroscopic lithotripsy of renal calculus,Procedure,MAPS_TO,,<auto>,1729857080329,
KMAB10,External cephalic version,23222,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012796126,4344624,External cephalic version,Procedure,MAPS_TO,,<auto>,1729857080340,
KJAB00,Simple excision of inguinal hernial sac,49540,,Finland,1.0,APPROVED,EQUAL,SBRU,1731941900496,4070700,Simple excision of inguinal hernial sac,Procedure,MAPS_TO,,<auto>,1729857080348,
KMAE03,High vacuum delivery,32186,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012796126,4075170,High vacuum delivery,Procedure,MAPS_TO,,<auto>,1729857080384,
KEBA00,Tooth extraction,69721,,Finland,1.0,APPROVED,EQUAL,SBRU,1731938490862,4208393,Tooth extraction,Procedure,MAPS_TO,,<auto>,1729857080393,
KAAL00,Endovascular obliteration of intracranial aneurysm,10476,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987202384,4048948,Endovascular obliteration of intracranial aneurysm,Procedure,MAPS_TO,,<auto>,1729857080412,
KKED22,Transurethral prostatectomy,93959,,Finland,1.0,APPROVED,EQUAL,SBRU,1732010423438,4234536,Transurethral prostatectomy,Procedure,MAPS_TO,,<auto>,1729857080414,
KQAA50,Cryotherapy to lesion of skin of head or neck,45885,,Finland,1.0,APPROVED,EQUAL,SBRU,1732038044626,4070329,Cryotherapy to lesion of skin of head or neck,Procedure,MAPS_TO,,<auto>,1729857080593,
KHAA00,Microdochotomy,18154,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940708859,4154201,Breast incision,Procedure,MAPS_TO,The DK source term is incision af bryst which maps specifically to breast incision,SBRU,1731940704783,
KJDH15,Endoscopic dilatation of duodenum,16696,,Finland,1.0,APPROVED,EQUAL,SBRU,1731944530979,4043184,Procedure on duodenum,Procedure,MAPS_TO,,SBRU,1731944528141,
KKAJ00,Nephrostomy,47730,,Finland,1.0,APPROVED,EQUAL,SBRU,1732009554291,4220029,Nephrostomy,Procedure,MAPS_TO,,<auto>,1729857080644,
KLCB28,Open excision of lesion of endometrium,43286,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4202814,Open excision of lesion of endometrium,Procedure,MAPS_TO,,<auto>,1729857080767,
KGAB10,Anterolateral thoracotomy,15374,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940320137,4127478,Anterolateral thoracotomy,Procedure,MAPS_TO,,<auto>,1729857080814,
KQDA10,Incision and drainage of lower extremity,31332,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039798916,4028875,Incision and drainage of lower extremity,Procedure,MAPS_TO,,<auto>,1729857080837,
KDHC00,Removal of penetrating foreign body from palate,11505,,Finland,1.0,APPROVED,EQUAL,SBRU,1731937896555,4067474,Removal of foreign body from nose,Procedure,MAPS_TO,The DK source term is Amotio corporis alieni nasi  which maps to removal of foreign body from nose,SBRU,1731937888932,
KMBC30,Repair of perineal tear,542883,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012941047,4128039,Repair of perineal tear,Procedure,MAPS_TO,,<auto>,1729857080879,
KCKD20,Removal of prosthetic components,15737,,Finland,1.0,APPROVED,EQUAL,SBRU,1731934746043,4216758,Removal of prosthetic components,Procedure,MAPS_TO,,<auto>,1729857080889,
KTPW99,Operation on lymphatic structure,23121,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039832084,4175627,Operation on lymphatic structure,Procedure,MAPS_TO,,<auto>,1729857080912,
KHAB40,Wedge excision of breast,53244,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940887217,4164942,Wedge excision of breast,Procedure,MAPS_TO,,<auto>,1729857080969,
KCBC10,Removal of foreign body from eyelid,24651,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987404911,4065687,Removal of foreign body from eyelid,Procedure,MAPS_TO,,<auto>,1729857081074,
KTDB00,Removal of foreign body from external auditory canal,53627,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039866187,4321430,Removal of foreign body from external auditory canal,Procedure,MAPS_TO,,<auto>,1729857081093,
KBAA40,Lobectomy of thyroid gland,37473,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987276663,4118958,Lobectomy of thyroid gland,Procedure,MAPS_TO,,<auto>,1729857081104,
KTKC20,Insertion of catheter into urinary bladder,14094,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039897491,4257824,Insertion of catheter into urinary bladder,Procedure,MAPS_TO,,<auto>,1729857081136,
KPJD64,Laparoscopic excision of pelvic lymph node,16368,,Finland,1.0,APPROVED,EQUAL,SBRU,1732037919515,40489848,Laparoscopic excision of pelvic lymph node,Procedure,MAPS_TO,,<auto>,1729857081141,
KTCC10,Lacrimal probing,27643,,Finland,1.0,APPROVED,EQUAL,SBRU,1732040104921,4170407,Lacrimal probing,Procedure,MAPS_TO,DK source sondering af tårekanal,<auto>,1729857081215,
KTCC10,Lacrimal probing,27643,,Finland,1.0,APPROVED,EQUAL,SBRU,1732040104921,4131804,Probing of lacrimal canaliculi,Procedure,MAPS_TO,DK source sondering af tårekanal,SBRU,1732040082395,
KTHA10,Needle biopsy of salivary gland,139771,,Finland,1.0,APPROVED,EQUAL,SBRU,1732040198264,4306207,Fine needle aspiration of breast,Procedure,MAPS_TO,DK source nålebiopsi af bryst,SBRU,1732040193090,
KQCC00,Removal of foreign body from skin and/or subcutaneous tissue by incision,30063,,Finland,0.87,APPROVED,WIDER,SBRU,1729868366140,4119988,Removal of foreign body from skin,Procedure,MAPS_TO,,SBRU,1729868349131,
KNDM40,Incision of tendon sheath,12593,,Finland,1.0,APPROVED,EQUAL,SBRU,1732013687893,4165696,Incision of tendon sheath,Procedure,MAPS_TO,,<auto>,1729857081361,
KLCH00,Dilation of cervix uteri and curettage for termination of pregnancy,8361,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4168396,Dilation of cervix uteri and curettage for termination of pregnancy,Procedure,MAPS_TO,,<auto>,1729857081372,
KDHB20,Nasal polypectomy,18112,,Finland,1.0,APPROVED,EQUAL,SBRU,1731936851662,4067379,Nasal polypectomy,Procedure,MAPS_TO,,<auto>,1729857081389,
KDAD30,Repair of auricle of ear,32773,,Finland,1.0,APPROVED,EQUAL,SBRU,1731935963292,4203632,Repair of auricle of ear,Procedure,MAPS_TO,,<auto>,1729857081423,
KJFB31,Laparoscopic right hemicolectomy,12542,,Finland,1.0,APPROVED,EQUAL,SBRU,1731944863017,44809642,Laparoscopic right hemicolectomy,Procedure,MAPS_TO,,<auto>,1729857081438,
KCKC15,Panretinal photocoagulation,117146,,Finland,1.0,APPROVED,EQUAL,SBRU,1731927863674,4195812,Panretinal photocoagulation,Procedure,MAPS_TO,,<auto>,1729857081473,
KTEL00,Needle biopsy of salivary gland,12141,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041502928,4306207,Fine needle aspiration of breast,Procedure,MAPS_TO,DK source code nålebiopsi af bryst,SBRU,1732041467377,
KJAB00,Repair of inguinal hernia,49540,,Finland,1.0,APPROVED,EQUAL,SBRU,1731941900496,4195307,Repair of inguinal hernia,Procedure,MAPS_TO,,<auto>,1729857081631,
KKBV12,Cystoscopic removal of ureteric stent,61416,,Finland,1.0,APPROVED,EQUAL,SBRU,1732010047316,4021434,Cystoscopic removal of ureteric stent,Procedure,MAPS_TO,,<auto>,1729857081654,
KDDD10,Does alternate between sitting and standing,13173,,Finland,0.44,APPROVED,EQUIVALENT,SBRU,1729857947243,4042826,Procedure on ossicular chain of middle ear,Procedure,MAPS_TO,Source term is Interposition mellem malleus og stapes which maps to Procedure on ossicular chain of middle ear,SBRU,1729857911660,
KQCD00,Application of dressing for burn,7020,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041629496,4233678,Application of dressing for burn,Procedure,MAPS_TO,,<auto>,1729857081783,
KJHA20,Excision of lesion of perirectal tissue,26332,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008467472,4067932,Excision of lesion of perirectal tissue,Procedure,MAPS_TO,,<auto>,1729857081795,
KKFD20,Hydrocelectomy,22510,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011013703,4171196,Excision of hydrocele,Procedure,MAPS_TO,,<auto>,1729857081810,
KDCA20,Insertion of tympanic ventilation tube in tympanic membrane,55813,,Finland,1.0,APPROVED,EQUAL,SBRU,1731936067782,4180279,Insertion of tympanic ventilation tube in tympanic membrane,Procedure,MAPS_TO,,<auto>,1729857081852,
KEMB10,Tonsillectomy,138153,,Finland,1.0,APPROVED,EQUAL,SBRU,1731939171667,4070719,Tonsillectomy,Procedure,MAPS_TO,,<auto>,1729857081886,
KCKD15,Injection of vitreous substitute,18502,,Finland,1.0,APPROVED,EQUAL,SBRU,1731928012912,4217211,Injection of vitreous substitute,Procedure,MAPS_TO,,<auto>,1729857081895,
KTBA10,Biopsy of thyroid,48884,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043576094,4085189,Biopsy of thyroid,Procedure,MAPS_TO,,<auto>,1729857081916,
KNDJ42,Closed reduction of fracture of wrist,24010,,Finland,1.0,APPROVED,EQUAL,SBRU,1732013557600,4076443,Closed reduction of fracture of wrist,Procedure,MAPS_TO,,<auto>,1729857081968,
KEMB20,Tonsillectomy and adenoidectomy,42770,,Finland,1.0,APPROVED,EQUAL,SBRU,1731939220786,4104016,Tonsillectomy and adenoidectomy,Procedure,MAPS_TO,,<auto>,1729857081977,
KCGC10,Removal of foreign body from cornea,47601,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987582572,4067028,Removal of foreign body from cornea,Procedure,MAPS_TO,,<auto>,1729857082008,
KJKE02,Transduodenal sphincterotomy,77587,,Finland,1.0,APPROVED,EQUAL,SBRU,1732009305807,4040297,Transduodenal sphincterotomy,Procedure,MAPS_TO,,<auto>,1729857082065,
KQAB10,Dressing of wound,38953,,Finland,1.0,APPROVED,EQUAL,SBRU,1732038119743,4080499,Dressing of wound,Procedure,MAPS_TO,,<auto>,1729857082090,
KLFB10,Excision of lesion of female perineum,17080,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012268419,4268043,Excision of lesion of female perineum,Procedure,MAPS_TO,,<auto>,1729857082090,
KFNC10,Aortocoronary artery bypass graft with vein graft,16123,,Finland,1.0,APPROVED,EQUAL,SBRU,1731939733955,4063237,Aortocoronary artery bypass graft with vein graft,Procedure,MAPS_TO,,<auto>,1729857082103,
KDKW10,Packing of anterior nasal cavity,93806,,Finland,1.0,APPROVED,EQUAL,SBRU,1731938153002,4269993,Packing of anterior nasal cavity,Procedure,MAPS_TO,,<auto>,1729857082140,
KULC05,Hysteroscopy with biopsy,25329,,Finland,1.0,APPROVED,EQUAL,SBRU,1732044826188,4186308,Hysteroscopy with biopsy,Procedure,MAPS_TO,,<auto>,1729857082226,
KTCG10,Removal of corneal suture,14086,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043632071,4065834,Removal of corneal suture,Procedure,MAPS_TO,,<auto>,1729857082277,
KTCF00,Subconjunctival injection,29566,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043594848,4252594,Subconjunctival injection,Procedure,MAPS_TO,,<auto>,1729857082383,
KQDB10,Dressing change/wound care case management,468813,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043290545,4256346,Dressing change/wound care case management,Procedure,MAPS_TO,,<auto>,1729857082460,
KLCH03,Curettage of products of conception from uterus,231923,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4138740,Dilation of cervix uteri and curettage of products of conception from uterus,Procedure,MAPS_TO,,<auto>,1729857082474,
KLCA13,Curettage of uterus,60184,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011806532,4074865,Curettage of uterus,Procedure,MAPS_TO,,<auto>,1729857082643,
KCKD70,Preretinal membranectomy,27369,,Finland,1.0,APPROVED,EQUAL,SBRU,1731935812533,4334716,Preretinal membranectomy,Procedure,MAPS_TO,,<auto>,1729857082644,
KHAA10,Biopsy of salivary gland,11955,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940852204,4047494,Biopsy of breast,Procedure,MAPS_TO,The DK source code is biopsi af bryst which maps to biopsy of breast,SBRU,1731940812075,
KHAD40,Fixation of pendulous breast,15312,,Finland,1.0,APPROVED,EQUAL,SBRU,1731941072297,4179928,Fixation of pendulous breast,Procedure,MAPS_TO,,<auto>,1729857082701,
KJGB30,Abdominoperineal resection,6170,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008409284,4144721,Abdominoperineal resection,Procedure,MAPS_TO,,<auto>,1729857082703,
KTPH15,Central venous cannula insertion via jugular vein,10443,,Finland,1.0,APPROVED,EQUAL,SBRU,1732044197375,4116186,Central venous cannula insertion via jugular vein,Procedure,MAPS_TO,,<auto>,1729857082772,
KPJD52,Complete axillary lymphadenectomy,17997,,Finland,1.0,APPROVED,EQUAL,SBRU,1732037901706,4194967,Complete axillary lymphadenectomy,Procedure,MAPS_TO,,<auto>,1729857082777,
KLFB00,Biopsy of vulva,37798,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012268419,4172084,Biopsy of vulva,Procedure,MAPS_TO,,<auto>,1729857082783,
KABC56,Decompression of spinal nerve root,74404,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987276663,4332423,Decompression of spinal nerve root,Procedure,MAPS_TO,,<auto>,1729857082889,
KJHB00,Hemorrhoidectomy,42661,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008601668,4074077,Hemorrhoidectomy,Procedure,MAPS_TO,,<auto>,1729857082972,
KJHA20,Excision of lesion of anus,26332,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008467472,4171194,Excision of lesion of anus,Procedure,MAPS_TO,,<auto>,1729857083007,
KQDC00,Removal of foreign body from skin and/or subcutaneous tissue by incision,16641,,Finland,0.87,APPROVED,WIDER,SBRU,1729865337875,4119988,Removal of foreign body from skin,Procedure,MAPS_TO,,SBRU,1729865317619,
KCHC05,Iridotomy,30525,,Finland,1.0,APPROVED,EQUAL,SBRU,1731927151194,4154104,Laser iridotomy,Procedure,MAPS_TO,,SBRU,1731927149046,
KLDC03,Diathermy of cervix,76986,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012121133,4127884,Diathermy of lesion of cervix,Procedure,MAPS_TO,,<auto>,1729857083136,
KTJK01,Laparoscopy,14158,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043881654,4251314,Laparoscopy,Procedure,MAPS_TO,,<auto>,1729857083142,
KQDH00,Partial excision of nail and nail matrix,12523,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043370354,4049522,Partial excision of nail and nail matrix,Procedure,MAPS_TO,,<auto>,1729857083244,
KQBA00,Procedure on skin of trunk,137335,,Finland,1.0,APPROVED,EQUAL,SBRU,1732038819469,4043031,Procedure on skin of trunk,Procedure,MAPS_TO,,<auto>,1729857083254,
KMCA10,Lower uterine segment cesarean section,15593,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012941047,37312440,Lower uterine segment cesarean section,Procedure,MAPS_TO,,<auto>,1729857083308,
KQDJ00,Suction assisted lipectomy of lower extremity,11407,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043487365,4192849,Suction assisted lipectomy of lower extremity,Procedure,MAPS_TO,,<auto>,1729857083337,
KUKC02,Cystoscopy,1149235,,Finland,1.0,APPROVED,EQUAL,SBRU,1732044799692,40299999,Cystoscopy,Procedure,MAPS_TO,,<auto>,1729857083349,
KNDM40,Incision of flexor tendon sheath of wrist,12593,,Finland,1.0,APPROVED,EQUAL,SBRU,1732013687893,4208901,Incision of flexor tendon sheath of wrist,Procedure,MAPS_TO,,<auto>,1729857083364,
KKCD02,Transurethral bladder excision,13083,,Finland,1.0,APPROVED,EQUAL,SBRU,1732010047316,4124166,Transurethral excision of urinary bladder,Procedure,MAPS_TO,,<auto>,1729857083364,
KMAB20,Failed external cephalic version,32670,,Finland,0.83,APPROVED,WIDER,SBRU,1730449563672,4344624,External cephalic version,Procedure,MAPS_TO,,<auto>,1729857083371,
KJFB30,Right colectomy,25328,,Finland,1.0,APPROVED,EQUAL,SBRU,1731944944090,4233412,Right colectomy,Procedure,MAPS_TO,,SBRU,1731944942337,
KTAB00,Lumbar puncture,256537,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043506839,4080549,Lumbar puncture,Procedure,MAPS_TO,,<auto>,1729857083448,
KMAE00,Outlet vacuum delivery,89572,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012796126,42535816,Outlet vacuum delivery,Procedure,MAPS_TO,,<auto>,1729857083456,
KDEB40,Mastoidectomy,14972,,Finland,1.0,APPROVED,EQUAL,SBRU,1731936381806,4174519,Mastoidectomy,Procedure,MAPS_TO,,<auto>,1729857083479,
KTPW99,Procedure on blood vessel,23121,,Finland,1.0,APPROVED,EQUAL,SBRU,1732044236134,4040551,Procedure on blood vessel,Procedure,MAPS_TO,,<auto>,1729857083485,
KAAB10,Partial excision of lesion of brain,11914,,Finland,1.0,APPROVED,EQUAL,SBRU,1730987081200,40486442,Partial excision of lesion of brain,Procedure,MAPS_TO,,<auto>,1729857083493,
KQBC00,Removal of foreign body from subcutaneous tissue by incision,11859,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039029028,40478913,Removal of foreign body from subcutaneous tissue by incision,Procedure,MAPS_TO,,<auto>,1729857083562,
KGEA00,Mediastinoscopy,16063,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940573208,4128302,Mediastinoscopy,Procedure,MAPS_TO,,<auto>,1729857083577,
KFNG00,Injection of coronary artery,6982,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940095439,4006788,Percutaneous transluminal coronary angioplasty,Procedure,MAPS_TO,"The DK source code is udvidelse af koronararterie which maps to dilation, typically ballon dialtion of coronary artery",SBRU,1731940094003,
KQDG00,Procedure on lower extremity,23847,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043347826,4042650,Procedure on lower extremity,Procedure,MAPS_TO,,<auto>,1729857083588,
KNFB30,Total prosthetic replacement of hip joint not using cement,52978,,Finland,1.0,APPROVED,EQUAL,SBRU,1732013747624,4144432,Uncemented prosthetic total arthroplasty of hip joint,Procedure,MAPS_TO,,<auto>,1729857083610,
KJCA08,Removal of foreign body from esophagus,17013,,Finland,1.0,APPROVED,EQUAL,SBRU,1731942610352,4123747,Removal of foreign body from esophagus,Procedure,MAPS_TO,,<auto>,1729857083627,
KQDB05,Management of lower limb ulcer,84905,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043274581,44809139,Management of lower limb ulcer,Procedure,MAPS_TO,,<auto>,1729857083650,
KCBL99,Blepharospasm,10810,,Finland,0.51,APPROVED,WIDER,SBRU,1729861358662,4331460,Blepharectomy,Procedure,MAPS_TO,,SBRU,1729861341597,
KJFG00,Closure of stoma of small intestine,7290,,Finland,1.0,APPROVED,EQUAL,SBRU,1732007228764,4187257,Closure of ileostomy,Procedure,MAPS_TO,The DK source code refers to Lukning af ileostomi whivh maps to closure of ileostomy,SBRU,1732007219538,
KMBA00,Aspiration curettage of uterus after delivery,116619,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012796126,4086505,Aspiration curettage of uterus after delivery,Procedure,MAPS_TO,,<auto>,1729857083740,
KLCH00,Aspiration curettage of uterus for termination of pregnancy,8361,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4212941,Aspiration curettage of uterus for termination of pregnancy,Procedure,MAPS_TO,,<auto>,1729857083831,
KJKE12,Endoscopic removal of calculus from bile duct,49455,,Finland,1.0,APPROVED,EQUAL,SBRU,1732009246942,40487575,Endoscopic removal of calculus from bile duct,Procedure,MAPS_TO,,<auto>,1729857083881,
KPJD44,Excision of iliac lymph nodes,18281,,Finland,1.0,APPROVED,EQUAL,SBRU,1732037901706,4226535,Excision of iliac lymph nodes,Procedure,MAPS_TO,,<auto>,1729857084015,
KJKE22,Bile duct operation,34454,,Finland,1.0,APPROVED,EQUAL,SBRU,1732009246942,4139992,Bile duct operation,Procedure,MAPS_TO,,<auto>,1729857084048,
KLAF10,Bilateral salpingectomy with oophorectomy,48627,,Finland,0.71,APPROVED,EQUIVALENT,SBRU,1730367989776,4297990,Excision of bilateral ovaries,Procedure,MAPS_TO,,<auto>,1729857084094,
KQBE30,Unmapped,11791,,Finland,0.28,APPROVED,WIDER,SBRU,1730708460164,4218111,Revision of scar of skin with excision,Procedure,MAPS_TO,,SBRU,1730708421459,
KKGH10,Circumcision,80685,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011196976,4218438,Circumcision,Procedure,MAPS_TO,,<auto>,1729857084216,
KQBJ30,Abdominoplasty,15511,,Finland,1.0,APPROVED,EQUAL,SBRU,1732039136512,4071518,Abdominoplasty,Procedure,MAPS_TO,,<auto>,1729857084263,
KLFF00,Marsupialization of Bartholin's gland,12323,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012402267,4072435,Marsupialization of Bartholin's gland,Procedure,MAPS_TO,,<auto>,1729857084263,
KJEA00,Appendectomy,82901,,Finland,1.0,APPROVED,EQUAL,SBRU,1731944575526,4198190,Appendectomy,Procedure,MAPS_TO,,<auto>,1729857084280,
KMBC33,Repair of complete perineal tear,44261,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012941047,4128040,Repair of complete perineal tear,Procedure,MAPS_TO,,<auto>,1729857084342,
KJHA20,Excision of perianal lesion,26332,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008467472,4225775,Excision of perianal lesion,Procedure,MAPS_TO,,<auto>,1729857084345,
KLFC00,Partial vulvectomy,7036,,Finland,1.0,APPROVED,EQUAL,SBRU,1732012402267,4074152,Partial vulvectomy,Procedure,MAPS_TO,,<auto>,1729857084357,
KJAL30,Omentectomy,17688,,Finland,1.0,APPROVED,EQUAL,SBRU,1731942349985,4300662,Omentectomy,Procedure,MAPS_TO,,<auto>,1729857084366,
KTKA10,Percutaneous puncture of kidney,6126,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043928719,4280600,Percutaneous puncture of kidney,Procedure,MAPS_TO,,<auto>,1729857084372,
KQAE00,Excision of skin of head and neck,13252,,Finland,1.0,APPROVED,EQUAL,SBRU,1732038590040,4119836,Excision of skin of head and neck,Procedure,MAPS_TO,DK source concept var Fjernelse af fremmedlegeme fra hud på hoved eller hals,<auto>,1729857084472,
KLCD10,Vaginal hysterectomy,26259,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4138738,Vaginal hysterectomy,Procedure,MAPS_TO,,<auto>,1729857084566,
KJHB30,Rubber band ligation of hemorrhoid(s),73619,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008601668,4069110,Rubber band ligation of hemorrhoid(s),Procedure,MAPS_TO,,<auto>,1729857084592,
KQBA50,Procedure on skin of trunk,82066,,Finland,1.0,APPROVED,EQUAL,SBRU,1732038819469,4043031,Procedure on skin of trunk,Procedure,MAPS_TO,,<auto>,1729857084596,
KTJK01,Intraoperative cholangiogram,14158,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043882465,4270640,Intraoperative cholangiography,Procedure,MAPS_TO,,<auto>,1729857084622,
KCKD65,Mechanical vitrectomy by pars plana approach,86829,,Finland,1.0,APPROVED,EQUAL,SBRU,1731935677416,4314406,Mechanical vitrectomy by pars plana approach,Procedure,MAPS_TO,,<auto>,1729857084639,
KJAB10,Repair of inguinal hernia,14968,,Finland,1.0,APPROVED,EQUAL,SBRU,1731941912637,4195307,Repair of inguinal hernia,Procedure,MAPS_TO,,<auto>,1729857084670,
KPWW99,Unmapped,6401,,Finland,0.28,APPROVED,WIDER,SBRU,1730708972765,4148948,Vascular surgery procedure,Procedure,MAPS_TO,,SBRU,1730708613715,
KJFB47,Laparoscopic sigmoid colectomy,11904,,Finland,1.0,APPROVED,EQUAL,SBRU,1731945035023,1245449,Laparoscopic sigmoid colectomy,Procedure,MAPS_TO,,<auto>,1729857084776,
KQCC00,Operation on skin of upper extremity,30063,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043107390,4028217,Operation on skin of upper extremity,Procedure,MAPS_TO,,<auto>,1729857084777,
KJAH33,Reopening of laparotomy site,12446,,Finland,1.0,APPROVED,EQUAL,SBRU,1731942255092,4186458,Reopening of laparotomy site,Procedure,MAPS_TO,,<auto>,1729857084789,
KTFC10,Catheterization of left heart,42476,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043673110,4195852,Catheterization of left heart,Procedure,MAPS_TO,,<auto>,1729857084836,
KQDB00,Suture of skin wound of limb,119809,,Finland,1.0,APPROVED,EQUAL,SBRU,1732043269069,4103530,Suture of skin wound of limb,Procedure,MAPS_TO,,<auto>,1729857084872,
KJHA00,Incision of perianal tissue,33284,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008544596,4098024,Incision of perianal tissue,Procedure,MAPS_TO,The DK source concept is Anal eller perianal incision so I have mapped to both,<auto>,1729857084939,
KJHA00,Incision of perianal tissue,33284,,Finland,1.0,APPROVED,EQUAL,SBRU,1732008544596,4076528,Incision of anus,Procedure,MAPS_TO,The DK source concept is Anal eller perianal incision so I have mapped to both,SBRU,1732008493255,
KCKC10,Sector retinal photocoagulation,88853,,Finland,1.0,APPROVED,EQUAL,SBRU,1731927857327,4216636,Sector retinal photocoagulation,Procedure,MAPS_TO,,<auto>,1729857085011,
KTPW99,Procedure on lymphatic vessel,23121,,Finland,1.0,APPROVED,EQUAL,SBRU,1732044236134,4043177,Procedure on lymphatic vessel,Procedure,MAPS_TO,,<auto>,1729857085020,
KTCG00,Unmapped,17566,,Finland,0.28,APPROVED,WIDER,SBRU,1730709237448,4086905,Provision of corneoscleral contact lens,Procedure,MAPS_TO,,SBRU,1730709162205,
KJAL00,Biopsy of peritoneum,8322,,Finland,1.0,APPROVED,EQUAL,SBRU,1731942314156,4105589,Biopsy of peritoneum,Procedure,MAPS_TO,,<auto>,1729857085076,
KTQX00,Fine needle aspiration biopsy of skin,236993,,Finland,1.0,APPROVED,EQUAL,SBRU,1732044451075,4326029,Fine needle aspiration biopsy of skin,Procedure,MAPS_TO,,<auto>,1729857085080,
KCKC30,Cryopexy,7848,,Finland,1.0,APPROVED,EQUAL,SBRU,1731927873624,4183321,Cryopexy,Procedure,MAPS_TO,,<auto>,1729857085099,
